SL,State/UT,2019,2020,2021
1,Andhra Pradesh,2524,2648,2669
2,Arunachal Pradesh,153,113,162
3,Assam,6608,4622,5282
4,Bihar,9320,6591,6894
5,Chhattisgarh,5665,5056,6001
6,Goa,167,125,151
7,Gujarat,4685,4075,4515
8,Haryana,5119,4338,5700
9,Himachal Pradesh,748,636,740
10,Jharkhand,1674,1795,1867
11,Karnataka,6305,5471,7261
12,Kerala,4754,3941,4536
13,Madhya Pradesh,19028,17008,19173
14,Maharashtra,19592,14371,17261
15,Manipur,148,125,143
16,Meghalaya,379,415,481
17,Mizoram,125,142,122
18,Nagaland,59,31,51
19,Odisha,7012,6330,7899
20,Punjab,2625,2121,2556
21,Rajasthan,7385,6580,7653
22,Sikkim,163,147,149
23,Tamil Nadu,4139,4338,6064
24,Telangana,4212,4200,5667
25,Tripura,311,260,236
26,Uttar Pradesh,18943,15271,16838
27,Uttarakhand,1214,1066,1245
28,West Bengal,6191,10248,9523
29,TOTAL STATE ( S ),139248,122064,140839
30,A & N Islands,153,141,124
31,Chandigarh,264,209,234
32,D & N Haveli and Daman & Diu,96,67,104
33,Delhi,7783,5362,7118
34,Jammu & Kashmir,470,606,845
35,Ladakh,-,2,1
36,Lakshadweep,26,9,17
37,Puducherry,50,71,122
38,TOTAL UT ( S ),8842,6467,8565
39,TOTAL ALL INDIA,148090,128531,149404
