SL,State/UT,2019,2020,2021
1,Andhra Pradesh,17746,17089,17752
2,Arunachal Pradesh,317,281,366
3,Assam,30025,26352,29046
4,Bihar,18587,15359,17950
5,Chhattisgarh,7689,7385,7344
6,Goa,329,219,224
7,Gujarat,8799,8028,7348
8,Haryana,14683,13000,16658
9,Himachal Pradesh,1636,1614,1599
10,Jharkhand,8760,7630,8110
11,Karnataka,13828,12680,14468
12,Kerala,11462,10139,13539
13,Madhya Pradesh,27560,25640,30673
14,Maharashtra,37144,31954,39526
15,Manipur,266,247,302
16,Meghalaya,558,568,685
17,Mizoram,170,172,176
18,Nagaland,43,39,54
19,Odisha,23183,25489,31352
20,Punjab,5886,4838,5662
21,Rajasthan,41550,34535,40738
22,Sikkim,125,140,130
23,Tamil Nadu,5934,6630,8501
24,Telangana,18394,17791,20865
25,Tripura,1070,874,807
26,Uttar Pradesh,59853,49385,56083
27,Uttarakhand,2541,2846,3431
28,West Bengal,29859,36439,35884
29,TOTAL STATE ( S ),387997,357363,409273
30,A & N Islands,135,143,169
31,Chandigarh,515,301,343
32,D & N Haveli and Daman & Diu,82,61,99
33,Delhi,13395,10093,14277
34,Jammu & Kashmir,3069,3405,3937
35,Ladakh,-,9,18
36,Lakshadweep,38,15,9
37,Puducherry,95,113,153
38,TOTAL UT ( S ),17329,14140,19005
39,TOTAL ALL INDIA,405326,371503,428278
