SL,State/UT,2019,2020,2021
1,Andhra Pradesh,2071,1950,2014
2,Arunachal Pradesh,0,0,0
3,Assam,21,28,15
4,Bihar,6544,7368,5842
5,Chhattisgarh,341,316,330
6,Goa,3,2,4
7,Gujarat,1416,1326,1201
8,Haryana,1086,1210,1628
9,Himachal Pradesh,189,251,244
10,Jharkhand,651,666,546
11,Karnataka,1504,1398,1673
12,Kerala,858,846,948
13,Madhya Pradesh,5300,6899,7214
14,Maharashtra,2150,2569,2503
15,Manipur,0,0,0
16,Meghalaya,0,0,0
17,Mizoram,0,0,0
18,Nagaland,0,0,0
19,Odisha,1886,2046,2327
20,Punjab,166,165,200
21,Rajasthan,6794,7017,7524
22,Sikkim,4,0,2
23,Tamil Nadu,1144,1274,1377
24,Telangana,1690,1959,1772
25,Tripura,0,2,3
26,Uttar Pradesh,11829,12714,13146
27,Uttarakhand,84,87,123
28,West Bengal,145,109,108
,TOTAL STATE ( S ),45876,50202,50744
29,A & N Islands,0,0,0
30,Chandigarh,1,3,0
31,"D & N Haveli and
Daman & Diu *",2,1,0
32,Delhi,76,69,136
33,"Jammu & Kashmir
*",2,7,13
34,Ladakh,-,0,0
35,Lakshadweep,0,0,0
36,Puducherry,4,9,7
,TOTAL UT ( S ),85,89,156
,TOTAL ALL INDIA,45961,50291,50900
