SL,State/UT,2019,2020,2021
1,Andhra Pradesh,2430,1860,1818
2,Arunachal Pradesh,3,0,8
3,Assam,2,6,5
4,Bihar,251,322,150
5,Chhattisgarh,1349,1533,1408
6,Goa,40,31,50
7,Gujarat,4088,2785,872
8,Haryana,384,650,1056
9,Himachal Pradesh,166,394,419
10,Jharkhand,9,2,32
11,Karnataka,1172,853,1442
12,Kerala,683,699,671
13,Madhya Pradesh,4184,4602,5273
14,Maharashtra,6163,4909,6190
15,Manipur,10,7,8
16,Meghalaya,1,3,3 M
17,Mizoram,9,8,L 5
18,Nagaland,16,11,00 8
19,Odisha,157,326,210
20,Punjab,228,289,335
21,Rajasthan,437,648,363
22,Sikkim,2,2,2
23,Tamil Nadu,2509,1581,1841
24,Telangana,1523,1575,1952
25,Tripura,19,13,8
26,Uttar Pradesh,475,353,423
27,Uttarakhand,6,4,7
28,West Bengal,353,344,304
30,TOTAL STATE ( S ),26669,23810,24863
31,A & N Islands,6,17,14
32,Chandigarh,50,43,22
32,D & N Haveli and Daman & Diu,2,0,4
33,Delhi,1076,919,1167
34,Jammu & Kashmir,1,5,40
35,Ladakh,-,0,0
36,Lakshadweep,0,0,0
37,Puducherry,0,0,0
38,TOTAL UT ( S ),1135,984,1247
39,TOTAL ALL INDIA,27804,24794,26110
