SL,State/UT,2019,2020,2021
1,Andhra Pradesh,1886,1899,1875
2,Arunachal Pradesh,8,30,47
3,Assam,2231,3530,4846
4,Bihar,1050,1512,1413
5,Chhattisgarh,175,297,352
6,Goa,15,40,36
7,Gujarat,784,1283,1536
8,Haryana,564,656,622
9,Himachal Pradesh,76,98,70
10,Jharkhand,1095,1204,953
11,Karnataka,12020,10741,8136
12,Kerala,307,426,626
13,Madhya Pradesh,602,699,589
14,Maharashtra,4967,5496,5562
15,Manipur,4,79,67
16,Meghalaya,89,142,107
17,Mizoram,8,13,30
18,Nagaland,2,8,8
19,Odisha,1485,1931,2037
20,Punjab,243,378,551
21,Rajasthan,1762,1354,1504
22,Sikkim,2,0,0
23,Tamil Nadu,385,782,1076
24,Telangana,2691,5024,10303
25,Tripura,20,34,24
26,Uttar Pradesh,11416,11097,8829
27,Uttarakhand,100,243,718
28,West Bengal,524,712,513
29,TOTAL STATE ( S ),44511,49708,52430
30,A & N Islands,2,5,8
31,Chandigarh,23,17,15
32,D & N Haveli and Daman & Diu,3,3,5
33,Delhi,115,168,356
34,Jammu & Kashmir,73,120,154
35,Ladakh,-,1,5
36,Lakshadweep,4,3,1
37,Puducherry,4,10,0
38,TOTAL UT ( S ),224,327,544
39,TOTAL ALL INDIA,44735,50035,52974
