SL,State/UT,2019,2020,2021
1,Andhra Pradesh,8806,7467,9273
2,Arunachal Pradesh,142,146,160
3,Assam,9912,9884,11809
4,Bihar,9138,7957,7964
5,Chhattisgarh,1724,1624,1700
6,Goa,165,153,131
7,Gujarat,3809,3129,3991
8,Haryana,6494,6786,6173
9,Himachal Pradesh,641,536,519
10,Jharkhand,3973,3160,2772
11,Karnataka,6795,5107,6447
12,Kerala,6584,9136,5421
13,Madhya Pradesh,3352,3235,4572
14,Maharashtra,15686,12453,15550
15,Manipur,147,154,135
16,Meghalaya,325,345,385
17,Mizoram,131,126,222
18,Nagaland,122,101,69
19,Odisha,4329,4028,6115
20,Punjab,4410,3490,3599
21,Rajasthan,26920,18528,23757
22,Sikkim,39,43,70
23,Tamil Nadu,3517,2898,3574
24,Telangana,11465,12985,20759
25,Tripura,350,208,230
26,Uttar Pradesh,19968,16708,20026
27,Uttarakhand,1341,1245,1662
28,West Bengal,9593,8709,10750
,TOTAL STATE ( S ),159878,140341,167835
29,A & N Islands,22,25,30
30,Chandigarh,160,156,178
31,"D & N Haveli and
Daman & Diu *",56,33,43
32,Delhi,4889,4524,5143
33,"Jammu & Kashmir
*",621,611,669
34,Ladakh,-,9,22
35,Lakshadweep,1,6,3
36,Puducherry,66,49,90
,TOTAL UT ( S ),5815,5413,6178
,TOTAL ALL INDIA,165693,145754,174013
