SL,State/UT,2019,2020,2021,"Mid - Year
Projected
Population
( in Lakhs )","Rate of
Environment
Offences
( 2021 )","Chargesheeti
ng Rate
( 2021 )"
1,Andhra Pradesh,188,195,420,528.5,0.8,100
2,Arunachal Pradesh,4,2,2,15.4,0.1,66.7
3,Assam,122,125,108,351.6,0.3,41.1
4,Bihar,87,73,56,1237,0,91.7
5,Chhattisgarh,196,85,51,296.1,0.2,96
6,Goa,4,1,2,15.6,0.1,66.7
7,Gujarat,99,57,46,700.8,0.1,93.6
8,Haryana,52,57,35,296,0.1,65.5
9,Himachal Pradesh,188,198,163,74.1,2.2,71.2
10,Jharkhand,80,178,272,386.4,0.7,89.4
11,Karnataka,549,413,324,669.9,0.5,95.7
12,Kerala,5054,1795,2659,355.4,7.5,99.5
13,Madhya Pradesh,235,114,59,848.6,0.1,98.4
14,Maharashtra,1004,753,1094,1247.6,0.9,98.2
15,Manipur,11,3,1,31.7,0,100
16,Meghalaya,77,112,7,33,0.2,80
17,Mizoram,2,0,3,12.2,0.2,100
18,Nagaland,0,3,0,22,0,100
19,Odisha,0,2,2,457.9,0,100
20,Punjab,29,72,50,304,0.2,94
21,Rajasthan,10782,9543,9387,795.7,11.8,99.8
22,Sikkim,0,1,1,6.8,0.1,100
23,Tamil Nadu,13316,42756,46458,764.8,60.7,98.7
24,Telangana,423,745,518,377.7,1.4,99.4
25,Tripura,2,3,3,40.8,0.1,0
26,Uttar Pradesh,1882,2981,1573,2317,0.7,94.3
27,Uttarakhand,96,1271,912,114.4,8,98.8
28,West Bengal,69,89,88,982.9,0.1,81.3
,TOTAL STATE ( S ),34551,61627,64294,13283.6,4.8,98.4
29,A & N Islands,0,0,0,4,0,-
30,Chandigarh,0,0,2,12.1,0.2,-
31,"D & N Haveli and
Daman & Diu *",0,0,0,11.1,0,-
32,Delhi,14,23,66,207,0.3,100
33,Jammu & Kashmir,20,62,85,134.4,0.6,69.1
34,Ladakh,-,0,0,3,0,-
35,Lakshadweep,1,1,1,0.7,1.5,100
36,Puducherry,90,54,23,15.8,1.5,100
,TOTAL UT ( S ),125,140,177,388.1,0.5,83.2
,TOTAL ALL INDIA,34676,61767,64471,13671.8,4.7,98.3
