State/UT,Murders,Kidnapping,Crimes_against_children,Crimes_against_senior_citizen,Crimes_against_women,Corruption,Total_Crimes,Cyber_Crime,Year
Andhra Pradesh,1175,1066,2059,1852,16526,174,139882,282,2014
Arunachal Pradesh,86,146,134,4,351,11,3038,18,2014
Assam,1451,4824,1385,0,19169,0,97401,379,2014
Bihar,3403,6575,2255,496,15393,128,195040,114,2014
Chhattisgarh,998,2014,4358,833,6301,55,84474,123,2014
Goa,34,152,330,73,508,22,7472,62,2014
Gujarat,1124,2722,3219,372,10854,275,422299,227,2014
Haryana,1106,3082,2540,310,9010,139,115469,151,2014
Himachal Pradesh,130,304,467,188,1529,68,17122,38,2014
Jharkhand,1658,1425,423,12,6086,37,51656,93,2014
Karnataka,1636,1933,3416,642,14004,401,163003,1020,2014
Kerala,367,222,2391,758,11451,149,610365,450,2014
Madhya Pradesh,2274,7833,15085,3438,28756,562,374059,289,2014
Maharashtra,2670,3794,8115,3981,26818,1316,384815,1879,2014
Manipur,96,182,137,14,337,3,4509,13,2014
Meghalaya,159,179,213,9,390,1,3983,60,2014
Mizoram,42,7,178,7,258,9,2575,22,2014
Nagaland,58,37,25,0,68,11,1669,0,2014
Odisha,1450,3073,2196,383,14651,400,93654,124,2014
Punjab,767,1550,1762,158,5481,145,64974,226,2014
Rajasthan,1637,5671,3880,1034,31216,503,268558,697,2014
Sikkim,12,20,93,0,111,6,1265,4,2014
Tamil Nadu,1805,1746,2354,2121,6354,212,505079,172,2014
Telangana,1308,1152,1930,422,14147,139,127706,703,2014
Tripura,140,126,369,6,1618,3,5759,5,2014
Uttar Pradesh,5150,12361,14835,420,38918,28,402601,1737,2014
Uttarakhand,218,691,489,1,1413,12,13049,42,2014
West Bengal,2217,6114,4909,118,38424,0,206380,355,2014
TOTAL STATE ( S ),33327,69861,79758,17652,323469,4888,4393309,9322,2014
A & N Islands,8,22,50,12,117,8,2868,13,2014
Chandigarh,24,187,208,13,434,4,4678,55,2014
D & N Haveli and Daman & Diu,11,24,18,0,37,0,549,4,2014
Delhi,586,7143,9350,1021,15319,64,165562,226,2014
Jammu & Kashmir,156,860,211,0,3327,79,25453,37,2014
Ladakh,0,0,0,0,0,0,0,0,2014
Lakshadweep,0,0,1,0,4,0,115,1,2014
Puducherry,25,13,38,16,77,2,4582,1,2014
TOTAL UT ( S ),654,7389,9665,1062,15988,78,178354,300,2014
TOTAL ALL INDIA,33981,77250,89423,18714,339457,4966,4571663,9622,2014
Andhra Pradesh,1099,917,1992,2495,15967,185,126448,536,2015
Arunachal Pradesh,57,175,181,7,384,15,3149,6,2015
Assam,1343,5831,2835,17,23365,14,107465,483,2015
Bihar,3178,7128,1917,404,13904,112,195412,242,2015
Chhattisgarh,929,2083,4469,1077,5783,50,87255,103,2015
Goa,31,112,242,59,392,11,4556,17,2015
Gujarat,1150,2108,3623,195,7777,305,434043,242,2015
Haryana,1002,3520,3262,306,9511,206,131989,224,2015
Himachal Pradesh,106,327,477,159,1295,39,17221,50,2015
Jharkhand,1536,1402,406,6,6568,76,52911,180,2015
Karnataka,1557,2354,3961,742,12775,259,170866,1447,2015
Kerala,334,271,2384,551,9767,377,653408,290,2015
Madhya Pradesh,2339,6778,12859,3456,24231,634,358505,231,2015
Maharashtra,2509,8255,13921,4561,31216,1279,423179,2195,2015
Manipur,81,179,110,16,266,2,4851,6,2015
Meghalaya,149,212,257,6,337,7,4406,56,2015
Mizoram,36,15,186,6,158,6,2575,8,2015
Nagaland,51,85,61,0,91,2,1928,0,2015
Odisha,1473,3236,2562,423,17200,456,103208,386,2015
Punjab,701,1694,1836,87,5340,146,60236,149,2015
Rajasthan,1569,5426,3689,685,28224,401,262176,949,2015
Sikkim,17,21,64,3,53,8,950,1,2015
Tamil Nadu,1748,1603,2617,1947,5919,204,442162,142,2015
Telangana,1188,1044,2697,1519,15425,193,122778,687,2015
Tripura,144,152,255,12,1267,8,4864,13,2015
Uttar Pradesh,4732,11999,11420,370,35908,60,474559,2208,2015
Uttarakhand,192,759,635,5,1465,20,15044,48,2015
West Bengal,2096,6119,4963,125,33318,18,206278,398,2015
TOTAL STATE ( S ),31480,74958,84189,19239,311272,5191,4497732,11331,2015
A & N Islands,19,28,102,12,136,13,3059,6,2015
Chandigarh,20,230,271,26,468,13,5113,77,2015
D & N Haveli and Daman & Diu,14,41,63,0,54,0,622,1,2015
Delhi,570,7730,9489,1248,17222,31,199976,177,2015
Jammu & Kashmir,133,1153,308,0,3366,98,25310,34,2015
Ladakh,0,0,0,0,0,0,0,0,2015
Lakshadweep,0,0,2,0,9,0,65,0,2015
Puducherry,24,18,56,7,82,2,4109,0,2015
TOTAL UT ( S ),647,8047,9983,1293,17971,59,212944,261,2015
TOTAL ALL INDIA,32127,83005,94172,20532,329243,5250,4710676,11592,2015
Andhra Pradesh,1123,917,1847,2243,16362,164,129389,616,2016
Arunachal Pradesh,46,112,133,2,367,14,2700,4,2016
Assam,1149,6126,3964,6,20869,23,107014,696,2016
Bihar,2581,7324,3932,272,13400,164,189696,309,2016
Chhattisgarh,957,2071,4746,902,5947,61,84192,90,2016
Goa,30,106,230,43,371,11,3706,31,2016
Gujarat,1120,2784,3637,496,8532,258,435422,362,2016
Haryana,1057,3932,3099,349,9839,139,143111,401,2016
Himachal Pradesh,101,290,467,233,1222,28,17249,31,2016
Jharkhand,1514,1309,717,56,5453,119,47817,259,2016
Karnataka,1573,2916,4455,818,14131,25,179479,1101,2016
Kerala,305,241,2879,571,10034,430,707870,283,2016
Madhya Pradesh,2004,7123,13746,3877,26604,402,365154,258,2016
Maharashtra,2299,9333,14559,4694,31388,1016,430866,2380,2016
