SL,State/UT,2019,2020,2021
1,Andhra Pradesh,145751,238105,222199
2,Arunachal Pradesh,2877,2503,3039
3,Assam,132783,121609,133239
4,Bihar,269109,257512,282083
5,Chhattisgarh,96561,103173,110633
6,Goa,3727,4366,2991
7,Gujarat,431066,699619,731738
8,Haryana,166336,192395,206431
9,Himachal Pradesh,19924,20630,18833
10,Jharkhand,62206,63570,60765
11,Karnataka,163691,150080,163697
12,Kerala,453083,554724,524960
13,Madhya Pradesh,395619,428046,475918
14,Maharashtra,509433,539003,540800
15,Manipur,3661,2986,3204
16,Meghalaya,3897,3744,3428
17,Mizoram,2880,2289,3196
18,Nagaland,1661,1511,1478
19,Odisha,121525,134230,155420
20,Punjab,72855,82875,73581
21,Rajasthan,304394,260378,284569
22,Sikkim,821,675,728
23,Tamil Nadu,455094,1377681,756753
24,Telangana,131254,147504,158809
25,Tripura,5988,4653,4788
26,Uttar Pradesh,628578,657925,608082
27,Uttarakhand,28268,57332,34875
28,West Bengal,188049,182367,181821
29,TOTAL STATE ( S ),4801091,6291485,5748058
30,A & N Islands,4034,2542,1332
31,Chandigarh,4518,3254,2995
32,D & N Haveli and Daman & Diu,660,533,579
33,Delhi,316261,266070,306389
34,Jammu & Kashmir,25408,28911,31675
35,Ladakh,-,403,559
36,Lakshadweep,182,147,128
37,Puducherry,4004,7940,4595
38,TOTAL UT ( S ),355067,309800,348252
39,TOTAL ALL INDIA,5156158,6601285,6096310
