,ds,y
3723,2011-03-13,777
3724,2011-03-14,918
3725,2011-03-15,930
3726,2011-03-16,1054
3727,2011-03-17,1077
3728,2011-03-18,1104
3729,2011-03-19,928
3730,2011-03-20,806
3731,2011-03-21,985
3732,2011-03-22,916
3733,2011-03-23,936
3734,2011-03-24,893
3735,2011-03-25,1022
3736,2011-03-26,862
3737,2011-03-27,845
3738,2011-03-28,899
3739,2011-03-29,917
3740,2011-03-30,939
3741,2011-03-31,959
3742,2011-04-01,1080
3743,2011-04-02,1106
3744,2011-04-03,947
3745,2011-04-04,1031
3746,2011-04-05,992
3747,2011-04-06,1029
3748,2011-04-07,970
3749,2011-04-08,1028
3750,2011-04-09,948
3751,2011-04-10,1113
3752,2011-04-11,1006
3753,2011-04-12,969
3754,2011-04-13,1034
3755,2011-04-14,1028
3756,2011-04-15,1023
3757,2011-04-16,924
3758,2011-04-17,913
3759,2011-04-18,905
3760,2011-04-19,777
3761,2011-04-20,880
3762,2011-04-21,892
3763,2011-04-22,894
3764,2011-04-23,986
3765,2011-04-24,848
3766,2011-04-25,931
3767,2011-04-26,947
3768,2011-04-27,988
3769,2011-04-28,963
3770,2011-04-29,979
3771,2011-04-30,977
3772,2011-05-01,1147
3773,2011-05-02,966
3774,2011-05-03,993
3775,2011-05-04,1025
3776,2011-05-05,1078
3777,2011-05-06,1063
3778,2011-05-07,973
3779,2011-05-08,942
3780,2011-05-09,1057
3781,2011-05-10,1076
3782,2011-05-11,1111
3783,2011-05-12,1045
3784,2011-05-13,1174
3785,2011-05-14,929
3786,2011-05-15,918
3787,2011-05-16,969
3788,2011-05-17,1040
3789,2011-05-18,955
3790,2011-05-19,1060
3791,2011-05-20,1115
3792,2011-05-21,966
3793,2011-05-22,1015
3794,2011-05-23,1053
3795,2011-05-24,1038
3796,2011-05-25,976
3797,2011-05-26,949
3798,2011-05-27,1032
3799,2011-05-28,948
3800,2011-05-29,883
3801,2011-05-30,1004
3802,2011-05-31,1091
3803,2011-06-01,1219
3804,2011-06-02,1178
3805,2011-06-03,1113
3806,2011-06-04,1101
3807,2011-06-05,1032
3808,2011-06-06,1071
3809,2011-06-07,1096
3810,2011-06-08,1081
3811,2011-06-09,962
3812,2011-06-10,1148
3813,2011-06-11,1020
3814,2011-06-12,1006
3815,2011-06-13,1054
3816,2011-06-14,1101
3817,2011-06-15,1107
3818,2011-06-16,1029
3819,2011-06-17,1175
3820,2011-06-18,1058
3821,2011-06-19,1049
3822,2011-06-20,1107
3823,2011-06-21,1067
3824,2011-06-22,1039
3825,2011-06-23,1046
3826,2011-06-24,1029
3827,2011-06-25,1113
3828,2011-06-26,1097
3829,2011-06-27,1000
3830,2011-06-28,1079
3831,2011-06-29,1107
3832,2011-06-30,1033
3833,2011-07-01,1133
3834,2011-07-02,1132
3835,2011-07-03,983
3836,2011-07-04,1030
3837,2011-07-05,1146
3838,2011-07-06,1087
3839,2011-07-07,1073
3840,2011-07-08,1028
3841,2011-07-09,1073
3842,2011-07-10,1080
3843,2011-07-11,1090
3844,2011-07-12,1089
3845,2011-07-13,1118
3846,2011-07-14,1069
3847,2011-07-15,1189
