SL,State/UT,2019,2020,2021
1,Andhra Pradesh,1797,754,1059
2,Assam,567,216,378
3,Bihar,5390,2046,3585
4,Chhattisgarh,801,306,358
5,Gujarat,6424,1916,6119
6,Haryana,1881,718,1237
7,Himachal Pradesh,13,10,14
8,Jharkhand,658,263,485
9,Karnataka,1863,756,920
10,Kerala,1088,253,637
11,Madhya Pradesh,6144,2019,4552
12,Maharashtra,45341,11508,10280
13,Odisha,1474,729,881
14,Punjab,899,353,501
15,Rajasthan,2557,754,1351
16,Tamil Nadu,4926,1420,1495
17,Telangana,1545,346,537
18,Tripura,37,10,20
19,Uttar Pradesh,8570,2499,4131
20,Uttarakhand,169,44,97
21,West Bengal,1611,695,820
22,Delhi,5568,2117,2332
23,Jammu & Kashmir,58,14,27
,TOTAL ALL INDIA,99381,29746,41816
