SL,State/UT,2019,2020,2021
1,Andhra Pradesh,59821,13596,9825
2,Arunachal Pradesh,0,0,0
3,Assam,8819,2101,3091
4,Bihar,29553,8666,20107
5,Chhattisgarh,21461,4897,14156
6,Goa,661,109,433
7,Gujarat,72469,19651,49587
8,Haryana,13187,3495,5218
9,Himachal Pradesh,268,41,83
10,Jharkhand,19958,5094,13223
11,Karnataka,30575,8917,21244
12,Kerala,35197,7997,15137
13,Madhya Pradesh,61748,19099,33982
14,Maharashtra,244866,68215,96648
15,Manipur,0,0,0
16,Meghalaya,0,0,0
17,Mizoram,0,0,0
18,Nagaland,384,109,157
19,Odisha,32173,6416,8692
20,Punjab,19231,3621,5004
21,Rajasthan,50627,17812,20370
22,Sikkim,0,0,0
23,Tamil Nadu,56652,12036,18647
24,Telangana,11602,3070,3704
25,Tripura@,152,63,74
26,Uttar Pradesh,111431,28753,43551
27,Uttarakhand,5206,1339,1005
28,West Bengal,47817,13932,30149
,TOTAL STATE(S),933858,249029,414087
29,A&N Islands,0,0,0
30,Chandigarh,755,76,185
31,D&N Haveli and Daman & Diu,0,0,0
,Delhi,13045,4758,8692
32,Jammu & Kashmir,1783,706,936
,Ladakh,0,0,0
34,Lakshadweep,0,0,0
,Puducherry,254,67,127
35,TOTAL UT(S),15837,5607,9940
36,TOTAL ALL INDIA,949695,254636,424027
