,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,cluster
0,1,3,2001,101,60,50,46,9,41,199,1131,3
1,1,28,2001,151,125,23,53,8,16,366,1543,3
2,1,154,2001,101,57,27,59,4,14,723,2088,3
3,1,172,2001,80,53,20,25,1,4,173,795,2
4,1,219,2001,82,67,23,49,4,25,1021,1244,3
5,1,276,2001,3,1,0,0,5,2,162,1,2
6,1,277,2001,182,88,54,82,16,59,1122,1792,3
7,1,304,2001,111,113,37,80,13,67,2792,3137,3
8,1,386,2001,162,85,56,67,27,50,392,1392,3
9,1,399,2001,93,60,47,41,1,13,368,1026,3
10,1,438,2001,65,51,37,36,3,15,478,1985,3
11,1,443,2001,133,72,29,47,6,22,297,1547,3
12,1,469,2001,157,67,59,42,8,27,316,867,3
13,1,489,2001,101,56,35,26,27,26,286,1367,3
14,1,525,2001,122,60,35,27,6,28,318,1132,3
15,1,541,2001,89,69,46,90,12,16,608,1119,3
16,1,545,2001,106,49,21,38,7,22,234,1383,3
17,1,586,2001,102,82,19,31,15,14,278,1266,3
18,1,624,2001,214,95,72,106,24,78,1296,2829,3
19,1,661,2001,6,0,0,0,0,10,296,17,2
20,1,711,2001,38,10,8,12,1,4,231,679,2
21,1,782,2001,53,44,25,70,3,27,2057,1578,3
22,1,784,2001,2,1,1,0,0,1,265,9,2
23,1,788,2001,58,29,12,12,4,3,165,1476,2
24,1,789,2001,22,10,13,13,1,5,630,325,2
25,1,790,2001,33,14,8,8,0,2,144,529,2
26,1,794,2001,158,79,53,81,2,23,418,1718,3
27,1,800,2001,77,58,61,41,7,15,1116,972,3
28,2,142,2001,11,2,1,3,3,4,24,30,2
29,2,208,2001,3,5,2,4,2,5,19,27,2
30,2,367,2001,3,1,2,7,1,6,26,36,2
31,2,368,2001,4,2,0,2,1,0,26,27,2
32,2,459,2001,16,6,2,6,2,8,31,40,2
33,2,567,2001,11,8,9,15,4,29,109,84,2
34,2,676,2001,7,0,5,11,4,8,52,58,2
35,2,677,2001,1,1,2,5,0,0,9,15,2
36,2,678,2001,5,14,4,17,1,10,72,71,2
37,2,717,2001,8,10,2,6,1,7,25,11,2
38,2,718,2001,4,0,2,1,3,5,20,34,2
39,2,730,2001,2,0,1,0,0,0,13,3,2
40,2,748,2001,8,4,1,6,0,2,17,30,2
41,3,73,2001,64,5,28,105,43,45,187,266,3
42,3,114,2001,45,22,20,36,13,25,92,67,2
43,3,125,2001,0,0,0,0,0,0,1,0,2
44,3,126,2001,52,30,45,104,29,42,359,286,3
45,3,184,2001,61,13,48,64,21,29,185,319,3
46,3,203,2001,15,16,42,31,2,12,79,203,2
47,3,206,2001,65,23,43,69,53,19,83,193,3
48,3,209,2001,110,22,35,57,14,29,325,351,3
49,3,239,2001,13,1,1,3,8,16,135,35,2
50,3,262,2001,28,12,35,43,37,13,116,51,2
51,3,264,2001,53,2,30,44,13,27,211,135,2
52,3,281,2001,71,44,37,129,38,73,736,913,3
53,3,283,2001,18,4,24,36,6,8,92,60,2
54,3,360,2001,40,22,42,37,6,27,230,134,2
55,3,369,2001,37,30,21,95,30,41,275,404,3
56,3,383,2001,65,26,5,38,12,33,79,66,2
57,3,385,2001,32,20,33,42,8,5,114,68,2
58,3,418,2001,87,27,14,41,14,10,89,156,2
59,3,450,2001,26,21,64,72,15,47,195,386,3
60,3,500,2001,20,9,23,39,15,10,66,31,2
61,3,514,2001,17,8,2,8,4,5,30,22,2
62,3,516,2001,95,22,51,119,59,33,491,513,3
63,3,524,2001,79,36,30,53,15,39,119,172,3
64,3,598,2001,11,0,3,2,13,2,29,0,2
65,3,679,2001,59,24,47,64,3,41,343,286,2
66,3,703,2001,86,25,53,87,27,21,356,451,3
67,3,747,2001,107,17,41,62,34,35,350,237,3
68,4,34,2001,47,27,93,79,39,43,161,10,3
69,4,36,2001,37,64,0,13,5,8,24,209,2
70,4,40,2001,74,46,16,24,19,28,103,25,2
71,4,47,2001,34,67,25,56,1,9,115,343,2
72,4,63,2001,93,16,34,27,49,39,73,8,3
73,4,80,2001,124,77,13,53,18,67,265,65,3
74,4,85,2001,66,9,20,84,8,32,265,842,3
75,4,87,2001,41,25,10,43,34,26,184,92,2
76,4,89,2001,128,73,35,66,22,55,370,9,3
77,4,99,2001,135,33,22,46,32,49,214,515,3
78,4,124,2001,56,38,8,34,49,34,179,39,3
79,4,182,2001,53,64,19,39,29,37,103,0,3
80,4,258,2001,200,170,25,66,100,114,416,292,3
81,4,268,2001,107,92,13,59,32,73,153,42,3
82,4,336,2001,7,0,1,4,9,13,117,0,2
83,4,342,2001,67,74,10,14,22,14,81,225,3
84,4,346,2001,73,80,6,35,15,22,121,0,2
85,4,391,2001,60,47,51,49,49,30,146,64,3
86,4,392,2001,7,0,0,3,18,19,221,0,2
87,4,398,2001,72,27,5,34,6,29,86,5,2
88,4,413,2001,25,15,22,23,19,10,57,4,2
89,4,451,2001,61,44,10,30,9,13,79,9,2
90,4,465,2001,56,23,11,49,17,31,69,4,2
91,4,466,2001,35,65,13,36,24,17,98,615,3
92,4,501,2001,114,98,44,100,30,79,271,112,3
93,4,507,2001,51,108,11,45,6,29,157,173,2
94,4,510,2001,153,162,73,113,32,135,538,103,3
95,4,511,2001,13,3,2,5,4,15,313,53,2
96,4,523,2001,208,249,40,126,51,97,412,611,3
97,4,534,2001,36,65,7,29,15,18,32,52,2
98,4,537,2001,77,54,15,42,16,31,66,282,3
99,4,574,2001,434,581,27,197,91,414,1568,354,1
100,4,575,2001,24,21,1,3,18,21,811,0,2
101,4,596,2001,104,89,39,64,75,97,227,35,3
102,4,633,2001,127,112,25,72,78,68,317,472,3
103,4,641,2001,36,151,12,27,3,15,56,229,2
104,4,646,2001,107,115,19,75,33,61,247,255,3
105,4,653,2001,137,70,20,65,69,93,246,878,3
106,4,668,2001,28,1,3,16,16,12,89,6,2
107,4,669,2001,18,0,11,13,7,8,16,0,2
108,4,693,2001,51,5,23,34,24,15,132,29,2
109,4,696,2001,116,150,4,51,45,100,112,47,3
110,4,722,2001,41,61,30,26,31,40,129,0,3
111,4,777,2001,110,148,20,90,22,43,262,436,3
112,6,58,2001,13,2,17,1,17,11,21,30,2
113,6,107,2001,99,42,69,20,4,37,690,617,3
114,6,110,2001,9,13,4,0,2,6,3,11,2
115,6,181,2001,83,37,19,11,7,5,64,116,2
116,6,196,2001,14,6,22,4,2,0,110,127,2
117,6,217,2001,76,66,144,57,9,50,893,595,3
118,6,271,2001,2,1,0,0,2,9,197,8,2
119,6,318,2001,80,35,59,6,2,23,172,216,2
120,6,343,2001,48,29,29,9,2,25,237,556,2
121,6,344,2001,37,16,36,2,5,17,54,98,2
122,6,373,2001,31,17,42,4,3,5,53,76,2
123,6,395,2001,19,12,35,1,1,2,43,167,2
124,6,429,2001,33,13,46,13,0,8,305,515,2
125,6,430,2001,35,25,34,7,3,6,153,163,2
126,6,471,2001,18,20,43,7,2,6,146,174,2
127,6,602,2001,50,24,53,6,2,13,173,277,2
128,6,608,2001,92,102,104,38,10,58,953,1259,3
129,6,614,2001,36,27,58,4,3,15,231,142,2
130,6,654,2001,105,42,145,17,11,42,314,330,3
131,10,548,2001,22,16,4,4,5,10,291,93,2
132,10,706,2001,14,14,8,5,2,15,285,81,2
133,11,5,2001,90,58,39,143,18,192,3588,1311,1
134,11,6,2001,26,17,5,27,15,25,225,482,2
135,11,8,2001,6,0,1,2,0,1,8,32,2
136,11,24,2001,41,11,2,39,4,25,199,363,2
137,11,27,2001,28,16,3,30,10,14,427,596,2
138,11,92,2001,37,14,4,39,13,17,388,385,2
139,11,94,2001,64,28,9,60,5,48,561,100,2
140,11,176,2001,36,8,5,15,22,44,120,394,2
141,11,249,2001,25,11,4,15,14,22,585,430,2
142,11,295,2001,55,9,17,31,23,29,191,357,2
143,11,338,2001,48,27,20,27,2,20,530,418,2
144,11,361,2001,56,37,14,46,4,52,547,541,2
145,11,406,2001,42,5,11,30,9,19,358,472,2
146,11,446,2001,34,29,2,24,8,11,307,467,2
147,11,491,2001,28,17,4,58,23,45,557,1206,3
148,11,530,2001,16,3,8,9,1,0,46,96,2
149,11,536,2001,26,6,2,6,7,13,120,144,2
150,11,559,2001,52,45,18,41,13,47,420,1370,3
151,11,563,2001,56,13,5,46,21,19,313,530,2
152,11,570,2001,24,18,3,21,8,19,220,422,2
153,11,584,2001,15,9,6,5,0,3,116,136,2
154,11,612,2001,29,33,5,46,5,31,1245,628,2
155,11,613,2001,30,36,20,40,9,23,378,616,2
156,11,724,2001,98,19,11,57,26,59,1422,353,3
157,11,725,2001,62,8,26,23,12,28,219,315,2
158,11,726,2001,38,17,11,29,7,13,204,522,2
159,11,775,2001,34,14,3,35,4,39,997,365,2
160,11,776,2001,71,13,18,38,15,21,210,354,2
