,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,cluster,location,latitude,longitude
8206,ANDHRA PRADESH,ADILABAD,2012,81,80,88,82,2,14,373,2172,1,"ADILABAD, ANDHRA PRADESH, INDIA",19.5,78.5
8207,ANDHRA PRADESH,ANANTAPUR,2012,173,123,18,74,14,6,581,2018,1,"ANANTAPUR, ANDHRA PRADESH, INDIA",14.6546235,77.55625984
8209,ANDHRA PRADESH,CUDDAPAH,2012,118,96,26,76,4,9,513,2355,1,"CUDDAPAH, ANDHRA PRADESH, INDIA",14.4956602,78.8349278
8210,ANDHRA PRADESH,CYBERABAD,2012,198,113,75,158,14,86,4461,4013,1,"CYBERABAD, ANDHRA PRADESH, INDIA",17.4508058,78.3834535
8211,ANDHRA PRADESH,EAST GODAVARI,2012,70,94,71,54,1,16,861,2222,1,"EAST GODAVARI, ANDHRA PRADESH, INDIA",16.99842865,81.71561488
8213,ANDHRA PRADESH,GUNTUR,2012,96,68,23,63,0,6,708,2309,1,"GUNTUR, ANDHRA PRADESH, INDIA",16.2915189,80.4541588
8214,ANDHRA PRADESH,GUNTUR URBAN,2012,56,53,24,42,2,29,904,1072,1,"GUNTUR URBAN, ANDHRA PRADESH, INDIA",17.6889118,83.2426004
8215,ANDHRA PRADESH,HYDERABAD CITY,2012,102,166,74,88,12,57,3694,3381,1,"HYDERABAD CITY, ANDHRA PRADESH, INDIA",17.4116427,78.4543627
8216,ANDHRA PRADESH,KARIMNAGAR,2012,128,112,40,141,4,25,860,2636,1,"KARIMNAGAR, ANDHRA PRADESH, INDIA",18.4348122,79.1328042
8217,ANDHRA PRADESH,KHAMMAM,2012,130,110,78,73,5,14,528,1956,1,"KHAMMAM, ANDHRA PRADESH, INDIA",17.1091033,81.0874209
8218,ANDHRA PRADESH,KRISHNA,2012,78,53,67,67,2,9,673,2601,1,"KRISHNA, ANDHRA PRADESH, INDIA",16.21399145,81.02572814
8219,ANDHRA PRADESH,KURNOOL,2012,111,143,22,58,3,18,518,2382,1,"KURNOOL, ANDHRA PRADESH, INDIA",15.8309251,78.0425373
8220,ANDHRA PRADESH,MAHABOOBNAGAR,2012,182,90,56,76,3,16,961,1870,1,"MAHABOOBNAGAR, ANDHRA PRADESH, INDIA",17.720535,79.627202
8221,ANDHRA PRADESH,MEDAK,2012,113,43,26,54,6,17,693,1674,1,"MEDAK, ANDHRA PRADESH, INDIA",17.9375095,78.21174499
8222,ANDHRA PRADESH,NALGONDA,2012,86,88,52,89,9,20,802,2995,1,"NALGONDA, ANDHRA PRADESH, INDIA",16.8579636,79.21749353
8223,ANDHRA PRADESH,NELLORE,2012,94,86,23,90,5,42,833,2550,1,"NELLORE, ANDHRA PRADESH, INDIA",14.4493717,79.9873763
8224,ANDHRA PRADESH,NIZAMABAD,2012,113,48,35,38,4,15,613,1332,1,"NIZAMABAD, ANDHRA PRADESH, INDIA",26.05531795,82.99313868
8225,ANDHRA PRADESH,PRAKASHAM,2012,108,117,37,84,2,27,674,2523,1,"PRAKASHAM, ANDHRA PRADESH, INDIA",17.0070088,81.7879635
8231,ANDHRA PRADESH,VIJAYAWADA CITY,2012,42,56,47,66,1,60,1385,1961,1,"VIJAYAWADA CITY, ANDHRA PRADESH, INDIA",16.5238862,80.6550537
8234,ANDHRA PRADESH,VISAKHAPATNAM,2012,44,27,50,27,14,27,1062,1207,1,"VISAKHAPATNAM, ANDHRA PRADESH, INDIA",17.7231276,83.3012842
8236,ANDHRA PRADESH,WARANGAL,2012,75,47,56,66,3,22,388,1482,1,"WARANGAL, ANDHRA PRADESH, INDIA",17.9820644,79.5970954
8238,ANDHRA PRADESH,WEST GODAVARI,2012,91,91,130,86,4,52,1008,2313,1,"WEST GODAVARI, ANDHRA PRADESH, INDIA",16.63713765,81.58909666
8272,ASSAM,GUWAHATI CITY,2012,83,6,78,341,14,275,2426,320,1,"GUWAHATI CITY, ASSAM, INDIA",26.1551026,91.78227731
8296,BIHAR,BEGUSARAI,2012,120,261,11,143,14,53,425,1469,1,"BEGUSARAI, BIHAR, INDIA",25.5127194,86.09057109
8297,BIHAR,BETTIAH,2012,83,150,35,166,6,24,653,2392,1,"BETTIAH, BIHAR, INDIA",26.79107275,84.56010679
8300,BIHAR,BHOJPUR,2012,71,121,9,74,13,21,345,2188,1,"BHOJPUR, BIHAR, INDIA",25.25,84.25
8302,BIHAR,DARBHANGA,2012,78,407,44,207,9,46,460,1894,1,"DARBHANGA, BIHAR, INDIA",26.08314325,86.03257097
8304,BIHAR,GOPALGANJ,2012,103,37,20,135,13,17,274,2173,1,"GOPALGANJ, BIHAR, INDIA",26.4207265,84.37406407
8308,BIHAR,KATIHAR,2012,91,94,73,137,13,32,400,1662,1,"KATIHAR, BIHAR, INDIA",25.5591001,87.64745596
8314,BIHAR,MADHUBANI,2012,77,71,31,191,19,20,427,2109,1,"MADHUBANI, BIHAR, INDIA",26.350072,86.22914689
8315,BIHAR,MOTIHARI,2012,124,735,22,233,27,46,553,1468,1,"MOTIHARI, BIHAR, INDIA",26.66951195,84.95741062
8317,BIHAR,MUZAFFARPUR,2012,198,611,34,279,48,73,1469,2219,1,"MUZAFFARPUR, BIHAR, INDIA",26.1486581,85.34001282
8319,BIHAR,NALANDA,2012,114,75,11,113,6,16,269,2540,1,"NALANDA, BIHAR, INDIA",25.1364914,85.44365465
8322,BIHAR,PATNA,2012,356,86,49,376,38,119,3114,4157,1,"PATNA, BIHAR, INDIA",25.6093239,85.1235252
8324,BIHAR,PURNEA,2012,97,228,39,142,16,17,171,2014,1,"PURNEA, BIHAR, INDIA",25.7773601,87.4731227
8331,BIHAR,SITAMARHI,2012,97,35,20,167,27,41,482,2047,1,"SITAMARHI, BIHAR, INDIA",26.666667,85.5
8334,BIHAR,VAISHALI,2012,122,153,20,223,14,80,825,2088,1,"VAISHALI, BIHAR, INDIA",25.95322565,85.1445776
8340,CHHATTISGARH,BILASPUR,2012,74,42,47,33,7,65,484,1612,1,"BILASPUR, CHHATTISGARH, INDIA",21.98934025,82.10996499
