SL,State/UT,2019,2020,2021
1,Andhra Pradesh,8,4,3
2,Arunachal Pradesh,4,1,0
3,Assam,54,24,17
4,Bihar,8,1,1
5,Chhattisgarh,0,5,1
6,Goa,110,80,40
7,Gujarat,22,3,17
8,Haryana,25,40,52
9,Himachal Pradesh,121,99,138
10,Jharkhand,1,0,0
11,Karnataka,167,344,229
12,Kerala,47,17,13
13,Madhya Pradesh,7,15,7
14,Maharashtra,237,134,139
15,Manipur,7,2,6
16,Meghalaya,11,19,25
17,Mizoram,54,13,17
18,Nagaland,1,3,6
19,Odisha,0,0,0
20,Punjab,53,31,18
21,Rajasthan,12,4,3
22,Sikkim,4,1,1
23,Tamil Nadu,76,92,79
24,Telangana,47,34,40
25,Tripura,44,49,44
26,Uttar Pradesh,41,91,40
27,Uttarakhand,53,13,13
28,West Bengal,1145,635,1287
,TOTAL STATE(S),2359,1754,2236
29,A&N Islands,7,10,7
30,Chandigarh,13,1,5
,D&N Haveli and Daman & Diu,0,0,1
,Delhi,264,168,322
32,Jammu & Kashmir,9,3,14
33,Ladakh,0,0,0
34,Lakshadweep,0,1,0
35,Puducherry,0,0,0
36,TOTAL UT(S),293,183,349
,TOTAL ALL INDIA,2652,1937,2585
