Serial Number,Category,State/UT,Year,Crime Count,Population (in lakhs),Crime Rate
29,Union Territory,A & N Islands,2001,658,3.56,184.8314607
1,State,Andhra Pradesh,2001,130089,757.28,171.7845447
2,State,Arunachal Pradesh,2001,2342,10.91,214.6654445
3,State,Assam,2001,36877,266.38,138.4375704
4,State,Bihar,2001,88432,828.79,106.7001291
30,Union Territory,Chandigarh,2001,3397,9.01,377.0255272
5,State,Chhattisgarh,2001,38460,207.96,184.9394114
31,Union Territory,D & N Haveli,2001,350,2.2,159.0909091
32,Union Territory,Daman & Diu,2001,239,1.58,151.2658228
33,Union Territory,Delhi,2001,54384,137.83,394.5730247
6,State,Goa,2001,2341,13.44,174.1815476
7,State,Gujarat,2001,103419,505.97,204.3974939
8,State,Haryana,2001,38759,210.83,183.8400607
9,State,Himachal Pradesh,2001,11499,60.77,189.2216554
10,State,Jammu & Kashmir,2001,19505,100.7,193.694141
11,State,Jharkhand,2001,25447,269.09,94.56687354
12,State,Karnataka,2001,109098,527.34,206.8836045
13,State,Kerala,2001,103847,318.39,326.162882
33,Union Territory,Lakshadweep,2001,36,0.61,59.01639344
14,State,Madhya Pradesh,2001,181741,603.85,300.9704397
15,State,Maharashtra,2001,171233,967.52,176.9813544
16,State,Manipur,2001,2489,23.89,104.1858518
17,State,Meghalaya,2001,1687,23.06,73.15698179
18,State,Mizoram,2001,2246,8.91,252.0763187
19,State,Nagaland,2001,1234,19.89,62.04122675
20,State,Odisha,2001,46661,367.07,127.1174435
34,Union Territory,Puducherry,2001,4068,9.74,417.6591376
21,State,Punjab,2001,27774,242.89,114.3480588
22,State,Rajasthan,2001,155185,564.73,274.7950348
23,State,Sikkim,2001,444,5.4,82.22222222
24,State,Tamil Nadu,2001,154801,621.11,249.2328251
25,State,Tripura,2001,2801,31.91,87.77812598
26,State,Uttar Pradesh,2001,178129,1660.53,107.2723769
27,State,Uttarakhand,2001,8073,84.8,95.2004717
28,State,West Bengal,2001,61563,802.21,76.74175091
29,Union Territory,A & N Islands,2002,608,3.65,166.5753425
1,State,Andhra Pradesh,2002,143610,769.15,186.7126048
2,State,Arunachal Pradesh,2002,2228,11.15,199.8206278
3,State,Assam,2002,36346,272.47,133.3945021
4,State,Bihar,2002,94040,851.71,110.4131688
30,Union Territory,Chandigarh,2002,3806,9.32,408.3690987
5,State,Chhattisgarh,2002,37950,213.03,178.1439234
31,Union Territory,D & N Haveli,2002,349,2.28,153.0701754
32,Union Territory,Daman & Diu,2002,261,1.64,159.1463415
33,Union Territory,Delhi,2002,49137,143.83,341.6324828
6,State,Goa,2002,2440,13.88,175.7925072
7,State,Gujarat,2002,106675,517.89,205.9800344
8,State,Haryana,2002,40152,216.44,185.5109961
9,State,Himachal Pradesh,2002,12243,61.78,198.1709291
10,State,Jammu & Kashmir,2002,19967,104.4,191.2547893
11,State,Jharkhand,2002,31439,275.43,114.1451548
12,State,Karnataka,2002,113699,536.81,211.8049217
13,State,Kerala,2002,104200,322.7,322.9005268
33,Union Territory,Lakshadweep,2002,53,0.62,85.48387097
14,State,Madhya Pradesh,2002,191799,620.72,308.9943936
15,State,Maharashtra,2002,165462,988.26,167.4276
16,State,Manipur,2002,2584,24.43,105.7715923
17,State,Meghalaya,2002,1664,23.58,70.5682782
18,State,Mizoram,2002,2820,9.1,309.8901099
19,State,Nagaland,2002,1114,20.47,54.42110405
20,State,Odisha,2002,47728,373.43,127.8097635
34,Union Territory,Puducherry,2002,4437,9.91,447.7295661
21,State,Punjab,2002,28794,247.71,116.2407654
22,State,Rajasthan,2002,151248,581.25,260.2116129
23,State,Sikkim,2002,485,5.53,87.7034358
24,State,Tamil Nadu,2002,166942,629.43,265.2272691
25,State,Tripura,2002,3075,32.47,94.70280259
26,State,Uttar Pradesh,2002,146037,1708.1,85.49675078
