,STATE/UT,DISTRICT,STATE/UT_enc,DISTRICT_enc
0,ANDHRA PRADESH,ADILABAD,1,3
1,ANDHRA PRADESH,ANANTAPUR,1,28
2,ANDHRA PRADESH,CHITTOOR,1,154
3,ANDHRA PRADESH,CUDDAPAH,1,172
4,ANDHRA PRADESH,EAST GODAVARI,1,219
5,ANDHRA PRADESH,GUNTAKAL RLY.,1,276
6,ANDHRA PRADESH,GUNTUR,1,277
7,ANDHRA PRADESH,HYDERABAD CITY,1,304
8,ANDHRA PRADESH,KARIMNAGAR,1,386
9,ANDHRA PRADESH,KHAMMAM,1,399
10,ANDHRA PRADESH,KRISHNA,1,438
11,ANDHRA PRADESH,KURNOOL,1,443
12,ANDHRA PRADESH,MAHABOOBNAGAR,1,469
13,ANDHRA PRADESH,MEDAK,1,489
14,ANDHRA PRADESH,NALGONDA,1,525
15,ANDHRA PRADESH,NELLORE,1,541
16,ANDHRA PRADESH,NIZAMABAD,1,545
17,ANDHRA PRADESH,PRAKASHAM,1,586
18,ANDHRA PRADESH,RANGA REDDY,1,624
19,ANDHRA PRADESH,SECUNDERABAD RLY.,1,661
20,ANDHRA PRADESH,SRIKAKULAM,1,711
21,ANDHRA PRADESH,VIJAYAWADA,1,782
22,ANDHRA PRADESH,VIJAYAWADA RLY.,1,784
23,ANDHRA PRADESH,VISAKHA RURAL,1,788
24,ANDHRA PRADESH,VISAKHAPATNAM,1,789
25,ANDHRA PRADESH,VIZIANAGARAM,1,790
26,ANDHRA PRADESH,WARANGAL,1,794
27,ANDHRA PRADESH,WEST GODAVARI,1,800
29,ARUNACHAL PRADESH,CHANGLANG,2,142
30,ARUNACHAL PRADESH,DIBANG VALLEY,2,208
31,ARUNACHAL PRADESH,KAMENG EAST,2,367
32,ARUNACHAL PRADESH,KAMENG WEST,2,368
33,ARUNACHAL PRADESH,LOHIT,2,459
34,ARUNACHAL PRADESH,PAPUM PARE,2,567
35,ARUNACHAL PRADESH,SIANG EAST,2,676
36,ARUNACHAL PRADESH,SIANG UPPER,2,677
37,ARUNACHAL PRADESH,SIANG WEST,2,678
38,ARUNACHAL PRADESH,SUBANSIRI LOWER,2,717
39,ARUNACHAL PRADESH,SUBANSIRI UPPER,2,718
40,ARUNACHAL PRADESH,TAWANG,2,730
41,ARUNACHAL PRADESH,TIRAP,2,748
43,ASSAM,BARPETA,3,73
44,ASSAM,BONGAIGAON,3,114
45,ASSAM,C.I.D.,3,125
46,ASSAM,CACHAR,3,126
47,ASSAM,DARRANG,3,184
48,ASSAM,DHEMAJI,3,203
49,ASSAM,DHUBRI,3,206
50,ASSAM,DIBRUGARH,3,209
51,ASSAM,G.R.P.,3,239
52,ASSAM,GOALPARA,3,262
53,ASSAM,GOLAGHAT,3,264
54,ASSAM,GUWAHATI CITY,3,281
55,ASSAM,HAILAKANDI,3,283
56,ASSAM,JORHAT,3,360
57,ASSAM,KAMRUP,3,369
58,ASSAM,KARBI ANGLONG,3,383
59,ASSAM,KARIMGANJ,3,385
60,ASSAM,KOKRAJHAR,3,418
61,ASSAM,LAKHIMPUR,3,450
62,ASSAM,MORIGAON,3,500
63,ASSAM,N.C.HILLS,3,514
64,ASSAM,NAGAON,3,516
65,ASSAM,NALBARI,3,524
66,ASSAM,R.P.O.,3,598
67,ASSAM,SIBSAGAR,3,679
68,ASSAM,SONITPUR,3,703
69,ASSAM,TINSUKIA,3,747
71,BIHAR,ARARIA,4,34
72,BIHAR,ARWAL,4,36
73,BIHAR,AURANGABAD,4,40
74,BIHAR,BAGAHA,4,47
75,BIHAR,BANKA,4,63
76,BIHAR,BEGUSARAI,4,80
77,BIHAR,BETTIAH,4,85
78,BIHAR,BHABHUA,4,87
79,BIHAR,BHAGALPUR,4,89
80,BIHAR,BHOJPUR,4,99
81,BIHAR,BUXAR,4,124
82,BIHAR,DARBHANGA,4,182
83,BIHAR,GAYA,4,258
84,BIHAR,GOPALGANJ,4,268
85,BIHAR,JAMALPUR RLY.,4,336
86,BIHAR,JAMUI,4,342
87,BIHAR,JEHANABAD,4,346
88,BIHAR,KATIHAR,4,391
89,BIHAR,KATIHAR RLY.,4,392
90,BIHAR,KHAGARIA,4,398
91,BIHAR,KISHANGANJ,4,413
92,BIHAR,LAKHISARAI,4,451
93,BIHAR,MADHEPURA,4,465
94,BIHAR,MADHUBANI,4,466
95,BIHAR,MOTIHARI,4,501
96,BIHAR,MUNGER,4,507
97,BIHAR,MUZAFFARPUR,4,510
98,BIHAR,MUZAFFARPUR RLY.,4,511
99,BIHAR,NALANDA,4,523
100,BIHAR,NAUGACHIA,4,534
101,BIHAR,NAWADAH,4,537
102,BIHAR,PATNA,4,574
103,BIHAR,PATNA RLY.,4,575
104,BIHAR,PURNEA,4,596
105,BIHAR,ROHTAS,4,633
106,BIHAR,SAHARSA,4,641
107,BIHAR,SAMASTIPUR,4,646
108,BIHAR,SARAN,4,653
109,BIHAR,SHEIKHPURA,4,668
110,BIHAR,SHEOHAR,4,669
111,BIHAR,SITAMARHI,4,693
112,BIHAR,SIWAN,4,696
113,BIHAR,SUPAUL,4,722
114,BIHAR,VAISHALI,4,777
116,CHHATTISGARH,BALRAMPUR,6,58
117,CHHATTISGARH,BILASPUR,6,107
118,CHHATTISGARH,BIZAPUR,6,110
119,CHHATTISGARH,DANTEWARA,6,181
120,CHHATTISGARH,DHAMTARI,6,196
121,CHHATTISGARH,DURG,6,217
122,CHHATTISGARH,GRP RAIPUR,6,271
123,CHHATTISGARH,JAGDALPUR,6,318
124,CHHATTISGARH,JANJGIR,6,343
125,CHHATTISGARH,JASHPUR,6,344
126,CHHATTISGARH,KANKER,6,373
127,CHHATTISGARH,KAWARDHA,6,395
128,CHHATTISGARH,KORBA,6,429
