SL,State/UT,2019,"
2020",2021,,,
1,Andhra Pradesh,245,171,168,,,
2,Arunachal Pradesh,0,2,3,,,
3,Assam,201,124,203,,,
4,Bihar,106,75,111,,,
5,Chhattisgarh,50,38,29,,,
6,Goa,38,17,15,,,
7,Gujarat,11,13,13,,,
8,Haryana,15,14,37,,,
9,Himachal Pradesh,11,4,5,,,
10,Jharkhand,177,140,92,,,
11,Karnataka,32,13,13,,,
12,Kerala,180,166,201,,,
13,Madhya Pradesh,73,80,89,,,
14,Maharashtra,282,184,320,,,
15,Manipur,9,6,1,,,
16,Meghalaya,22,1,1,,,
17,Mizoram,7,0,0,,,
18,Nagaland,3,0,0,,,
19,Odisha,147,103,136,,,
20,Punjab,19,17,15,,,
21,Rajasthan,141,128,100,,,
22,Sikkim,0,1,0,,,
23,Tamil Nadu,16,11,3,,,
24,Telangana,137,184,347,,,
25,Tripura,1,1,1,,,
26,Uttar Pradesh,48,90,103,,,
27,Uttarakhand,20,9,16,,,
28,West Bengal,120,59,61,,,
,TOTAL STATE(S),2111,1651,2083,,,
29,A & N Islands,0,0,0,,,
30,Chandigarh,2,2,2,,,
31,DNH and Daman & Diu,0,2,0,,,
32,Delhi UT,93,53,92,,,
33,Jammu & Kashmir,0,2,4,,,
34,Ladakh,0,0,0,,,
35,Lakshadweep,0,0,0,,,
36,Puducherry,2,4,8,,,
,TOTAL UT(S),97,63,106,,,
,TOTAL INDIA,2208,1714,2189,,,
