STATE/UT,DISTRICT,YEAR,lab_scal_st,lab_scal_dist,scal_yr,scal_murder,scal_attempt_murder,cal_rape,scal_kidnap,scal_dacoity,scal_robb,scal_theft,scal_hurt
ANDHRA PRADESH,ADILABAD,2001,-1.708952121,-1.727634339,-1.626894023,1.267184111,0.376740756,0.718009433,0.080103616,0.190915652,0.237985921,-0.267334763,1.320317435
ANDHRA PRADESH,ANANTAPUR,2001,-1.708952121,-1.620006729,-1.626894023,2.436683654,1.661657524,-0.15588816,0.2049723,0.099549483,-0.252841486,-0.052881803,2.056622443
ANDHRA PRADESH,CHITTOOR,2001,-1.708952121,-1.077563575,-1.626894023,1.267184111,0.317436905,-0.02642185,0.3120026,-0.265915193,-0.292107678,0.405559553,3.030618145
ANDHRA PRADESH,CUDDAPAH,2001,-1.708952121,-1.000071696,-1.626894023,0.775994303,0.238365104,-0.252987892,-0.294502434,-0.5400137,-0.488438641,-0.300722649,0.719835681
ANDHRA PRADESH,EAST GODAVARI,2001,-1.708952121,-0.797731789,-1.626894023,0.822774285,0.515116408,-0.15588816,0.133618766,-0.265915193,-0.076143619,0.788236091,1.522265167
ANDHRA PRADESH,GUNTAKAL RLY.,2001,-1.708952121,-0.552340838,-1.626894023,-1.025034993,-0.789568311,-0.900319442,-0.740462018,-0.174549024,-0.527704833,-0.314848293,-0.699159893
ANDHRA PRADESH,GUNTUR,2001,-1.708952121,-0.548035734,-1.626894023,3.161773371,0.930243364,0.847475743,0.722285417,0.830478835,0.591381653,0.917935186,2.501622314
ANDHRA PRADESH,HYDERABAD CITY,2001,-1.708952121,-0.431797915,-1.626894023,1.50108402,1.424442121,0.297243925,0.68660865,0.556380328,0.748446423,3.062464779,4.905336478
ANDHRA PRADESH,KARIMNAGAR,2001,-1.708952121,-0.078779354,-1.626894023,2.693973554,0.870939513,0.912208898,0.454709667,1.835506694,0.414683787,-0.019493918,1.786763083
ANDHRA PRADESH,KHAMMAM,2001,-1.708952121,-0.022812997,-1.626894023,1.080064184,0.376740756,0.620909701,-0.0090883,-0.5400137,-0.311740774,-0.050313504,1.132666887
ANDHRA PRADESH,KRISHNA,2001,-1.708952121,0.145086074,-1.626894023,0.42514444,0.198829203,0.297243925,-0.098280217,-0.357281362,-0.272474582,0.090942936,2.846541893
ANDHRA PRADESH,KURNOOL,2001,-1.708952121,0.166611596,-1.626894023,2.015663819,0.613956159,0.038311305,0.097942,-0.083182855,-0.135042908,-0.141488116,2.063771035
ANDHRA PRADESH,MAHABOOBNAGAR,2001,-1.708952121,0.278544311,-1.626894023,2.577023599,0.515116408,1.009308631,0.008750083,0.099549483,-0.036877427,-0.117089276,0.848510342
ANDHRA PRADESH,MEDAK,2001,-1.708952121,0.364646399,-1.626894023,1.267184111,0.297668955,0.23251077,-0.276664051,1.835506694,-0.056510523,-0.15561376,1.742084381
ANDHRA PRADESH,NALGONDA,2001,-1.708952121,0.519630157,-1.626894023,1.758373919,0.376740756,0.23251077,-0.258825667,-0.083182855,-0.017244331,-0.114520977,1.322104583
ANDHRA PRADESH,NELLORE,2001,-1.708952121,0.588511828,-1.626894023,0.986504221,0.554652308,0.588543123,0.864992484,0.465014159,-0.252841486,0.257882365,1.298871658
ANDHRA PRADESH,NIZAMABAD,2001,-1.708952121,0.605732245,-1.626894023,1.384134065,0.159293303,-0.220621315,-0.062603451,0.008183314,-0.135042908,-0.222389532,1.77067875
ANDHRA PRADESH,PRAKASHAM,2001,-1.708952121,0.782241526,-1.626894023,1.290574102,0.811635662,-0.28535447,-0.187472134,0.739112666,-0.292107678,-0.165886956,1.561582425
ANDHRA PRADESH,RANGA REDDY,2001,-1.708952121,0.945835493,-1.626894023,3.910253078,1.068619016,1.430074138,1.150406618,1.561408187,0.964410482,1.141377191,4.35489487
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,-1.708952121,1.105124355,-1.626894023,-0.954865021,-0.809336261,-0.900319442,-0.740462018,-0.631379869,-0.370640063,-0.142772265,-0.670565524
ANDHRA PRADESH,SRIKAKULAM,2001,-1.708952121,1.320379575,-1.626894023,-0.206385313,-0.611656758,-0.641386822,-0.526401418,-0.5400137,-0.488438641,-0.22624198,0.512526504
ANDHRA PRADESH,VIJAYAWADA,2001,-1.708952121,1.626041988,-1.626894023,0.14446455,0.060453551,-0.091155005,0.508224817,-0.357281362,-0.036877427,2.118614928,2.119172625
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,-1.708952121,1.634652197,-1.626894023,-1.048424984,-0.789568311,-0.867952865,-0.740462018,-0.631379869,-0.547337929,-0.182580899,-0.684862708
ANDHRA PRADESH,VISAKHA RURAL,2001,-1.708952121,1.651872614,-1.626894023,0.261414504,-0.236065703,-0.511920512,-0.526401418,-0.265915193,-0.508071737,-0.310995844,1.936883521
ANDHRA PRADESH,VISAKHAPATNAM,2001,-1.708952121,1.656177719,-1.626894023,-0.580625167,-0.611656758,-0.479553935,-0.508563034,-0.5400137,-0.468805544,0.286133653,-0.120123916
ANDHRA PRADESH,VIZIANAGARAM,2001,-1.708952121,1.660482823,-1.626894023,-0.323335267,-0.532584957,-0.641386822,-0.597754951,-0.631379869,-0.527704833,-0.337962983,0.244454292
ANDHRA PRADESH,WARANGAL,2001,-1.708952121,1.677703241,-1.626894023,2.60041359,0.752331811,0.815109166,0.704447034,-0.448647531,-0.115409812,0.013893968,2.369373356
ANDHRA PRADESH,WEST GODAVARI,2001,-1.708952121,1.703533867,-1.626894023,0.70582433,0.337204855,1.074041786,-0.0090883,0.008183314,-0.272474582,0.910230289,1.03616089
ARUNACHAL PRADESH,CHANGLANG,2001,-1.611283107,-1.129224828,-1.626894023,-0.837915066,-0.76980036,-0.867952865,-0.686946868,-0.357281362,-0.488438641,-0.492060918,-0.647332599
ARUNACHAL PRADESH,DIBANG VALLEY,2001,-1.611283107,-0.845087937,-1.626894023,-1.025034993,-0.71049651,-0.835586287,-0.669108485,-0.448647531,-0.468805544,-0.498481665,-0.652694043
ARUNACHAL PRADESH,KAMENG EAST,2001,-1.611283107,-0.160576338,-1.626894023,-1.025034993,-0.789568311,-0.835586287,-0.615593335,-0.5400137,-0.449172448,-0.489492619,-0.63660971
ARUNACHAL PRADESH,KAMENG WEST,2001,-1.611283107,-0.156271233,-1.626894023,-1.001645002,-0.76980036,-0.900319442,-0.704785251,-0.5400137,-0.566971026,-0.489492619,-0.652694043
ARUNACHAL PRADESH,LOHIT,2001,-1.611283107,0.235493267,-1.626894023,-0.720965112,-0.690728559,-0.835586287,-0.633431718,-0.448647531,-0.409906256,-0.483071871,-0.629461118
ARUNACHAL PRADESH,PAPUM PARE,2001,-1.611283107,0.700444542,-1.626894023,-0.837915066,-0.651192659,-0.609020245,-0.472886268,-0.265915193,0.002388766,-0.382908214,-0.550826602
ARUNACHAL PRADESH,SIANG EAST,2001,-1.611283107,1.169700921,-1.626894023,-0.93147503,-0.809336261,-0.738486555,-0.544239801,-0.265915193,-0.409906256,-0.456104733,-0.597292452
ARUNACHAL PRADESH,SIANG UPPER,2001,-1.611283107,1.174006026,-1.626894023,-1.071814975,-0.789568311,-0.835586287,-0.651270101,-0.631379869,-0.566971026,-0.51132316,-0.67413982
ARUNACHAL PRADESH,SIANG WEST,2001,-1.611283107,1.17831113,-1.626894023,-0.978255011,-0.532584957,-0.770853132,-0.437209501,-0.5400137,-0.370640063,-0.430421744,-0.574059527
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,-1.611283107,1.346210202,-1.626894023,-0.908085039,-0.611656758,-0.835586287,-0.633431718,-0.5400137,-0.429539352,-0.490776768,-0.681288412
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,-1.611283107,1.350515306,-1.626894023,-1.001645002,-0.809336261,-0.835586287,-0.722623635,-0.357281362,-0.468805544,-0.497197515,-0.640184006
ARUNACHAL PRADESH,TAWANG,2001,-1.611283107,1.402176559,-1.626894023,-1.048424984,-0.809336261,-0.867952865,-0.740462018,-0.631379869,-0.566971026,-0.506186562,-0.695585597
ARUNACHAL PRADESH,TIRAP,2001,-1.611283107,1.479668438,-1.626894023,-0.908085039,-0.73026446,-0.867952865,-0.633431718,-0.631379869,-0.527704833,-0.501049964,-0.647332599
ASSAM,BARPETA,2001,-1.513614094,-1.426277031,-1.626894023,0.401754449,-0.71049651,0.005944728,1.132568234,3.297365398,0.316518306,-0.282744556,-0.225565652
ASSAM,BONGAIGAON,2001,-1.513614094,-1.249767751,-1.626894023,-0.042655377,-0.374441355,-0.252987892,-0.098280217,0.556380328,-0.076143619,-0.404738755,-0.58120812
ASSAM,C.I.D.,2001,-1.513614094,-1.202411602,-1.626894023,-1.095204966,-0.809336261,-0.900319442,-0.740462018,-0.631379869,-0.566971026,-0.521596355,-0.700947041
ASSAM,CACHAR,2001,-1.513614094,-1.198106498,-1.626894023,0.121074559,-0.216297753,0.556176546,1.114729851,2.018239032,0.257619017,-0.06187085,-0.189822691
ASSAM,DARRANG,2001,-1.513614094,-0.948410443,-1.626894023,0.331584477,-0.552352907,0.653276278,0.401194517,1.28730968,0.002388766,-0.285312855,-0.130846804
ASSAM,DHEMAJI,2001,-1.513614094,-0.866613459,-1.626894023,-0.744355103,-0.493049057,0.459076813,-0.187472134,-0.448647531,-0.331373871,-0.421432698,-0.338155981
ASSAM,DHUBRI,2001,-1.513614094,-0.853698146,-1.626894023,0.42514444,-0.354673405,0.491443391,0.490386434,4.211027088,-0.193942197,-0.4162961,-0.356027462
ASSAM,DIBRUGARH,2001,-1.513614094,-0.840782833,-1.626894023,1.477694029,-0.374441355,0.23251077,0.276325833,0.647746497,0.002388766,-0.105531931,-0.073658066
ASSAM,G.R.P.,2001,-1.513614094,-0.711629701,-1.626894023,-0.791135085,-0.789568311,-0.867952865,-0.686946868,0.099549483,-0.252841486,-0.349520328,-0.638396858
ASSAM,GOALPARA,2001,-1.513614094,-0.6126123,-1.626894023,-0.440285222,-0.572120858,0.23251077,0.026588466,2.749168384,-0.311740774,-0.373919168,-0.609802489
ASSAM,GOLAGHAT,2001,-1.513614094,-0.604002091,-1.626894023,0.14446455,-0.76980036,0.070677883,0.04442685,0.556380328,-0.036877427,-0.251924969,-0.45968205
ASSAM,GUWAHATI CITY,2001,-1.513614094,-0.530815316,-1.626894023,0.565484385,0.060453551,0.297243925,1.560689435,2.840534553,0.866245001,0.422253496,0.930719154
ASSAM,HAILAKANDI,2001,-1.513614094,-0.522205107,-1.626894023,-0.67418513,-0.73026446,-0.123521582,-0.098280217,-0.083182855,-0.409906256,-0.404738755,-0.593718156
ASSAM,JORHAT,2001,-1.513614094,-0.190712069,-1.626894023,-0.159605331,-0.374441355,0.459076813,-0.080441834,-0.083182855,-0.036877427,-0.22752613,-0.461469199
ASSAM,KAMRUP,2001,-1.513614094,-0.151966129,-1.626894023,-0.229775304,-0.216297753,-0.220621315,0.954184401,2.109605201,0.237985921,-0.169739404,0.021060782
ASSAM,KARBI ANGLONG,2001,-1.513614094,-0.091694667,-1.626894023,0.42514444,-0.295369554,-0.738486555,-0.062603451,0.465014159,0.080921151,-0.421432698,-0.582995268
ASSAM,KARIMGANJ,2001,-1.513614094,-0.083084459,-1.626894023,-0.346725258,-0.413977255,0.167777615,0.008750083,0.099549483,-0.468805544,-0.376487467,-0.579420972
ASSAM,KOKRAJHAR,2001,-1.513614094,0.058983986,-1.626894023,0.939724239,-0.275601603,-0.447187357,-0.0090883,0.647746497,-0.370640063,-0.408591203,-0.422151941
ASSAM,LAKHIMPUR,2001,-1.513614094,0.196747327,-1.626894023,-0.487065203,-0.394209305,1.171141518,0.543901584,0.739112666,0.355784498,-0.272471361,-0.011107883
ASSAM,MORIGAON,2001,-1.513614094,0.412002547,-1.626894023,-0.627405149,-0.631424709,-0.15588816,-0.044765067,0.739112666,-0.370640063,-0.43812664,-0.645545451
ASSAM,N.C.HILLS,2001,-1.513614094,0.472274009,-1.626894023,-0.697575121,-0.651192659,-0.835586287,-0.597754951,-0.265915193,-0.468805544,-0.484356021,-0.661629783
ASSAM,NAGAON,2001,-1.513614094,0.480884218,-1.626894023,1.126844166,-0.374441355,0.750376011,1.382305601,4.759224102,0.080921151,0.107636879,0.215859923
ASSAM,NALBARI,2001,-1.513614094,0.515325053,-1.626894023,0.752604312,-0.097690051,0.070677883,0.2049723,0.739112666,0.198719728,-0.370066719,-0.393557572
ASSAM,R.P.O.,2001,-1.513614094,0.833902778,-1.626894023,-0.837915066,-0.809336261,-0.80321971,-0.704785251,0.556380328,-0.527704833,-0.48564017,-0.700947041
ASSAM,SIBSAGAR,2001,-1.513614094,1.182616235,-1.626894023,0.284804495,-0.334905454,0.620909701,0.401194517,-0.357281362,0.237985921,-0.082417241,-0.189822691
ASSAM,SONITPUR,2001,-1.513614094,1.28593874,-1.626894023,0.916334248,-0.315137504,0.815109166,0.811477334,1.835506694,-0.154676004,-0.065723298,0.105056742
ASSAM,TINSUKIA,2001,-1.513614094,1.475363334,-1.626894023,1.407524056,-0.473281106,0.426710236,0.36551775,2.475069877,0.120187343,-0.073428195,-0.277392947
BIHAR,ARARIA,2001,-1.41594508,-1.594176103,-1.626894023,0.004124605,-0.275601603,2.109772266,0.668770267,2.931900722,0.277252113,-0.316132442,-0.68307556
BIHAR,ARWAL,2001,-1.41594508,-1.585565894,-1.626894023,-0.229775304,0.455812557,-0.900319442,-0.508563034,-0.174549024,-0.409906256,-0.492060918,-0.327433093
BIHAR,AURANGABAD,2001,-1.41594508,-1.568345476,-1.626894023,0.635654358,0.099989452,-0.382454202,-0.312340818,1.104577342,-0.017244331,-0.390613111,-0.656268339
BIHAR,BAGAHA,2001,-1.41594508,-1.538209746,-1.626894023,-0.299945277,0.515116408,-0.091155005,0.25848745,-0.5400137,-0.390273159,-0.375203317,-0.08795525
BIHAR,BANKA,2001,-1.41594508,-1.469328075,-1.626894023,1.080064184,-0.493049057,0.200144193,-0.258825667,3.845562412,0.198719728,-0.429137594,-0.686649856
BIHAR,BEGUSARAI,2001,-1.41594508,-1.3961413,-1.626894023,1.805153901,0.712795911,-0.479553935,0.2049723,1.013211173,0.748446423,-0.182580899,-0.584782416
BIHAR,BETTIAH,2001,-1.41594508,-1.374615778,-1.626894023,0.448534431,-0.631424709,-0.252987892,0.757962184,0.099549483,0.061288054,-0.182580899,0.80383164
BIHAR,BHABHUA,2001,-1.41594508,-1.36600557,-1.626894023,-0.136215341,-0.315137504,-0.576653667,0.026588466,2.475069877,-0.056510523,-0.286597005,-0.536529418
BIHAR,BHAGALPUR,2001,-1.41594508,-1.357395361,-1.626894023,1.898713864,0.63372411,0.23251077,0.436871283,1.378675849,0.512849268,-0.047745206,-0.684862708
BIHAR,BHOJPUR,2001,-1.41594508,-1.314344317,-1.626894023,2.0624438,-0.156993902,-0.188254737,0.080103616,2.292337539,0.395050691,-0.248072521,0.219434219
