SL,State/UT,2019,2020,2021
1,Andhra Pradesh,870,853,956
2,Arunachal Pradesh,60,45,49
3,Assam,1235,1131,1192
4,Bihar,3138,3150,2799
5,Chhattisgarh,913,972,1007
6,Goa,33,34,26
7,Gujarat,993,982,1010
8,Haryana,1137,1143,1112
9,Himachal Pradesh,70,91,86
10,Jharkhand,1626,1592,1573
11,Karnataka,1314,1331,1357
12,Kerala,323,306,337
13,Madhya Pradesh,1795,2101,2034
14,Maharashtra,2142,2163,2330
15,Manipur,56,46,46
16,Meghalaya,68,79,80
17,Mizoram,22,28,24
18,Nagaland,25,25,27
19,Odisha,1356,1470,1394
20,Punjab,679,757,723
21,Rajasthan,1659,1719,1786
22,Sikkim,17,11,14
23,Tamil Nadu,1745,1661,1686
24,Telangana,839,802,1026
25,Tripura,144,114,122
26,Uttar Pradesh,3806,3779,3717
27,Uttarakhand,199,160,208
28,West Bengal,1930,1948,1884
29,TOTAL STATE ( S ),28194,28493,28605
30,A & N Islands,13,5,16
31,Chandigarh,26,22,17
32,D & N Haveli and Daman & Diu,13,13,14
33,Delhi,521,472,459
34,Jammu & Kashmir,119,149,136
35,Ladakh,-,0,5
36,Lakshadweep,0,0,1
37,Puducherry,29,39,19
38,TOTAL UT ( S ),721,700,667
39,TOTAL ALL INDIA,28915,29193,29272
