STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,TOTAL IPC CRIMES
ANDHRA PRADESH,2001,2602,1555,871,1182,214,629,16751,34947,130089
ARUNACHAL PRADESH,2001,83,53,33,83,22,84,443,466,2342
ASSAM,2001,1356,481,817,1480,532,687,5367,5805,36877
BIHAR,2001,3643,3419,888,2159,1291,2203,9701,7544,88432
CHHATTISGARH,2001,880,529,959,207,87,338,4812,5477,38460
GOA,2001,36,30,12,9,7,25,576,174,2341
GUJARAT,2001,1226,537,286,998,327,991,15834,13760,103419
HARYANA,2001,781,467,398,449,77,397,6117,4744,38759
HIMACHAL PRADESH,2001,119,75,124,126,4,28,600,1403,11499
JAMMU & KASHMIR,2001,1075,1474,169,606,24,161,1919,318,19505
JHARKHAND,2001,1507,866,567,441,636,647,3827,2254,25447
KARNATAKA,2001,1626,1475,293,559,178,847,12868,23285,109098
KERALA,2001,472,615,562,183,176,517,5441,19829,103847
MADHYA PRADESH,2001,2425,2870,2851,956,166,1764,20263,30895,181741
MAHARASHTRA,2001,2839,1454,1302,985,529,2239,39866,30212,171233
MANIPUR,2001,209,168,20,94,20,19,217,201,2489
MEGHALAYA,2001,164,47,26,55,97,125,271,102,1687
MIZORAM,2001,31,15,52,2,3,23,878,94,2246
NAGALAND,2001,101,39,17,23,11,129,258,37,1234
ODISHA,2001,987,1151,790,522,199,958,5622,4367,46661
PUNJAB,2001,738,789,298,513,45,131,3023,3996,27774
RAJASTHAN,2001,1259,1923,1049,2718,60,889,16939,27485,155185
SIKKIM,2001,19,11,8,6,0,3,74,35,444
TAMIL NADU,2001,1662,2204,423,952,158,672,16709,28429,154801
TRIPURA,2001,240,25,102,93,26,63,259,412,2801
UTTAR PRADESH,2001,7601,7964,1958,4330,905,3825,27011,17816,178129
UTTARAKHAND,2001,316,279,74,183,32,191,1419,830,8073
WEST BENGAL,2001,1594,449,709,875,274,660,14245,3658,61563
A & N ISLANDS,2001,13,0,3,2,0,4,65,118,658
CHANDIGARH,2001,15,10,18,56,5,22,1529,95,3397
D & N HAVELI,2001,3,2,6,4,0,2,45,29,350
DAMAN & DIU,2001,7,5,0,5,0,0,40,21,239
LAKSHADWEEP,2001,1,0,0,0,0,0,10,3,36
PUDUCHERRY,2001,25,32,9,4,1,4,528,635,4068
ANDHRA PRADESH,2002,2525,1644,1002,1302,197,648,19222,39839,143610
ARUNACHAL PRADESH,2002,61,38,38,57,22,96,395,401,2228
ASSAM,2002,1253,479,970,1595,473,607,5555,4764,36346
BIHAR,2002,3712,3526,1040,2361,1289,2288,10145,8770,94040
CHHATTISGARH,2002,844,453,992,178,144,326,4302,4484,37950
GOA,2002,30,20,12,9,5,24,496,236,2440
GUJARAT,2002,1532,759,267,1015,804,1098,15742,13531,106675
HARYANA,2002,760,487,361,427,61,330,5962,4514,40152
HIMACHAL PRADESH,2002,123,86,137,138,0,18,564,1476,12243
JAMMU & KASHMIR,2002,1048,1240,192,674,42,163,2020,366,19967
JHARKHAND,2002,1488,1143,797,468,580,780,4374,2294,31439
KARNATAKA,2002,1627,1576,292,645,178,972,13818,22824,113699
KERALA,2002,454,562,499,162,137,610,5743,19033,104200
MADHYA PRADESH,2002,2395,2864,2891,964,136,1829,20759,29955,191799
MAHARASHTRA,2002,2768,1435,1352,953,548,2136,37606,29250,165462
MANIPUR,2002,165,160,14,157,3,6,255,378,2584
MEGHALAYA,2002,167,58,38,52,64,109,392,89,1664
MIZORAM,2002,29,26,76,7,5,7,999,112,2820
NAGALAND,2002,100,34,17,27,21,110,257,53,1114
ODISHA,2002,1075,1372,691,523,246,945,5268,4947,47728
PUNJAB,2002,733,728,299,551,50,110,2963,4453,28794
RAJASTHAN,2002,1276,2043,1051,2587,47,734,16313,26519,151248
SIKKIM,2002,13,5,6,9,0,5,64,50,485
TAMIL NADU,2002,1723,2133,534,1001,176,653,18755,25150,166942
TRIPURA,2002,201,38,108,128,29,56,270,518,3075
UTTAR PRADESH,2002,6825,6283,1415,3430,552,2840,22419,13947,146037
UTTARAKHAND,2002,292,249,89,198,32,177,1365,760,7976
WEST BENGAL,2002,1444,413,759,831,204,544,12449,3112,58962
A & N ISLANDS,2002,17,3,2,2,1,7,49,97,608
CHANDIGARH,2002,31,35,18,54,1,26,1647,107,3806
D & N HAVELI,2002,11,2,4,9,3,1,75,29,349
DAMAN & DIU,2002,8,3,0,3,2,1,56,18,261
LAKSHADWEEP,2002,0,0,1,0,0,0,12,5,53
PUDUCHERRY,2002,29,43,6,10,2,6,526,1093,4437
ANDHRA PRADESH,2003,2667,1678,946,1485,176,660,23408,41545,156951
ARUNACHAL PRADESH,2003,77,20,31,68,37,60,370,427,2061
ASSAM,2003,1191,485,1095,1628,471,523,5525,4952,38195
BIHAR,2003,3771,3540,985,2427,1221,2463,10124,8884,92263
CHHATTISGARH,2003,776,513,898,177,140,331,4170,3653,38449
GOA,2003,34,25,31,14,5,21,464,198,2244
GUJARAT,2003,1114,478,236,1044,338,1267,19304,12611,103709
HARYANA,2003,702,446,353,388,63,281,5591,4153,38612
HIMACHAL PRADESH,2003,125,74,126,113,8,19,627,1385,12011
JAMMU & KASHMIR,2003,929,1216,211,712,23,154,1949,310,21233
JHARKHAND,2003,1482,957,712,487,702,864,4155,3062,32203
KARNATAKA,2003,1506,1241,321,531,220,861,14180,21913,112405
KERALA,2003,435,448,394,189,142,634,4891,17696,98824
MADHYA PRADESH,2003,2227,2413,2738,887,153,1578,20422,29358,191078
MAHARASHTRA,2003,2772,1412,1268,926,514,2096,37098,29205,164306
MANIPUR,2003,150,199,18,120,3,6,252,324,2537
MEGHALAYA,2003,175,60,40,49,83,133,360,106,1669
MIZORAM,2003,46,36,54,8,5,21,1303,142,3456
